detailUrl,unformattedPrice,beds,baths,area,zestimate,brokerName,latitude,longitude,date
https://www.zillow.com/homedetails/2842-Poplar-Dr-Columbus-IN-47203/85097819_zpid/,169900,3.0,2.0,1593.0,170800.0,"Runnebohm Realty, LLC",39.227097,-85.87434,2021-12-02
https://www.zillow.com/homedetails/550-W-Columbus-IN-47201/217811047_zpid/,95230,0.0,,,,Berkshire Hathaway HomeService,39.08428,-86.01828,2021-11-30
https://www.zillow.com/homedetails/2950-Lucas-Way-Columbus-IN-47203/102837154_zpid/,158000,3.0,1.0,1409.0,159000.0,Berkshire Hathaway Home,39.228752,-85.894585,2021-11-30
https://www.zillow.com/homedetails/2084-Buckthorn-Dr-Columbus-IN-47201/251679571_zpid/,274900,4.0,3.0,2492.0,276700.0,Realty One Group Dream,39.260216,-85.949104,2021-11-30
https://www.zillow.com/homedetails/6025-Waterside-Dr-Columbus-IN-47201/102836343_zpid/,1375000,5.0,5.0,5784.0,1381800.0,RE/MAX At The Crossing,39.18251,-85.98803,2021-11-30
https://www.zillow.com/homedetails/5970-W-450-S-Columbus-IN-47201/85107231_zpid/,160000,3.0,2.0,3200.0,161300.0,CENTURY 21 Breeden REALTORS®,39.13414,-85.987656,2021-11-30
https://www.zillow.com/homedetails/1959-Saint-James-Pl-Columbus-IN-47201/112013193_zpid/,235000,3.0,3.0,1817.0,236900.0,RE/MAX Real Estate Prof,39.243633,-85.94634,2021-11-30
https://www.zillow.com/homedetails/2011-Ohio-Ave-Columbus-IN-47201/85101364_zpid/,114900,3.0,1.0,1008.0,115500.0,Berkshire Hathaway Home,39.199265,-85.90235,2021-11-29
https://www.zillow.com/homedetails/8611-W-Georgetown-Rd-Columbus-IN-47201/102835353_zpid/,99900,2.0,2.0,1072.0,100400.0,CENTURY 21 Breeden REALTORS®,39.2185,-86.016945,2021-11-29
https://www.zillow.com/homedetails/730-Riverside-Cir-Columbus-IN-47203/85094078_zpid/,235000,3.0,2.0,1680.0,236400.0,Realty One Group Dream,39.25813,-85.91891,2021-11-29
https://www.zillow.com/homedetails/6027-Channel-Dr-Columbus-IN-47201/85104185_zpid/,1045000,5.0,4.0,6664.0,1050600.0,RE/MAX Real Estate Prof,39.18672,-85.98733,2021-11-29
https://www.zillow.com/homedetails/2406-Chestnut-St-Columbus-IN-47201/85095326_zpid/,227000,2.0,2.0,2814.0,228600.0,RE/MAX Real Estate Prof,39.222275,-85.9159,2021-11-24
https://www.zillow.com/homedetails/2930-Sassafras-Ln-Columbus-IN-47203/85098529_zpid/,247000,3.0,3.0,2288.0,248800.0,RE/MAX Real Estate Prof,39.227764,-85.88142,2021-11-24
https://www.zillow.com/homedetails/1730-Newton-St-Columbus-IN-47201/102837540_zpid/,193000,3.0,1.0,2982.0,194400.0,RE/MAX Real Estate Prof,39.216614,-85.91113,2021-11-24
https://www.zillow.com/homedetails/5530-W-Lowell-Rd-Columbus-IN-47201/102836548_zpid/,563500,5.0,4.0,4483.0,567600.0,Non-BLC Office,39.251484,-85.982445,2021-11-24
https://www.zillow.com/homedetails/5862-S-Jonesville-Rd-Columbus-IN-47201/217813795_zpid/,110000,3.0,1.0,1760.0,110900.0,RE/MAX Real Estate Prof,39.147198,-85.916626,2021-11-24
https://www.zillow.com/homedetails/2195-Lakecrest-Dr-Columbus-IN-47201/85093701_zpid/,245000,4.0,3.0,2180.0,246900.0,Horizon Real Estate of Indiana,39.1699,-85.94826,2021-11-24
